Word,POS,NER
শরীরে,NNC,B-OTH
গুরুত্বপূর্ণ,ADJ,B-OTH
অস্ত্রোপচার,NNC,B-OTH
করা,NNC,B-OTH
হয়।,VF,B-OTH
বিপুল,ADJ,B-OTH
জনসংখ্যার,NNC,B-OTH
ভারে,NNC,B-OTH
এমনিতেই,ADV,B-OTH
নুয়ে,NNC,B-OTH
পড়েছে,VF,B-OTH
বিশ্ব।,NNC,B-OTH
নির্বাচনে,NNC,B-EVENT
উত্তাপ,NNC,B-OTH
প্রাণচাঞ্চল্য,NNC,B-OTH
থাকলেও,VNF,B-OTH
কোনো,DET,B-OTH
ধরনের,NNC,B-OTH
অঘটন,NNC,B-OTH
বা,CONJ,B-OTH
চমক,NNC,B-OTH
ছিল,VF,B-OTH
উপরে,NNC,B-OTH
১,QF,B-NUM
নং,NNC,B-OTH
রান্নার,NNC,B-OTH
বেগুন,NNC,B-OTH
টুকরোগুলোকে,NNC,B-OTH
ইলিশমাছের,NNP,B-OTH
টুকরো,NNC,B-OTH
দিয়ে,PP,B-OTH
রিপ্লেস,NNC,B-OTH
দিলেই।,VNF,B-OTH
করোনার,NNP,B-MISC
নয়,QF,B-NUM
মাসে,NNC,B-UNIT
হ্যাকিং,NNC,B-OTH
হয়রানী,NNC,B-OTH
উত্যক্তকরণের,NNC,B-OTH
মামলা,NNC,B-OTH
বেড়েছে,VF,B-OTH
আগের,NNC,B-OTH
চাইতে,PP,B-OTH
২৯,QF,B-NUM
শতাংশ,NNC,B-UNIT
অভিযোগকারীদের,NNC,B-PER
অধিকাংশই,ADJ,B-OTH
নারী।,NNC,B-PER
ভাষণে,NNC,B-OTH
বঙ্গবন্ধু,NNP,B-PER
সরকারের,NNC,B-ORG
বিভিন্ন,ADJ,B-OTH
উন্নয়নমূলক,ADJ,B-OTH
কর্মকাণ্ডের,NNC,B-OTH
চিত্র,NNC,B-OTH
তুলে,VNF,B-OTH
ধরবেন,VF,B-OTH
প্রধানমন্ত্রী।,NNC,B-PER
জুম,NNP,B-OTH
এর,PART,B-OTH
ফ্রি,ADJ,B-OTH
প্ল্যান,NNC,B-OTH
ব্যবহার,NNC,B-OTH
সর্বোচ্চ,ADJ,B-OTH
১০০জন,QF,B-OTH
পার্টিসিপেন্ট,NNC,B-PER
৪০মিনিট,QF,B-NUM
টাইম,NNC,B-OTH
লিমিটের,NNC,B-OTH
মিটিং,NNC,B-OTH
সেটাপ,NNC,B-OTH
যাবে।,VF,B-OTH
রিজভী,NNP,B-PER
আরও,ADV,B-OTH
‘দেশে,PUNCT,B-OTH
৮০,QF,B-NUM
মানুষের,NNC,B-PER
আয়,NNC,B-OTH
বাড়েনি।,VF,B-OTH
জাতীয়তাবাদী,ADJ,B-ORG
ছাত্রদলের,NNP,I-ORG
পাঁচ,QF,B-NUM
সদস্যের,NNC,B-PER
আংশিক,ADJ,B-OTH
কমিটি,NNC,B-ORG
ঘোষণা,NNC,B-OTH
নিজের,PRO,B-OTH
বিষয়ে,NNC,B-OTH
দূরদর্শিতা,NNC,B-OTH
সত্যিই,ADV,B-OTH
অবাক,ADJ,B-OTH
করার,NNC,B-OTH
মত।,PP,B-OTH
আগ্রহী,ADJ,B-OTH
শিক্ষার্থীরা,NNC,B-PER
আইইএলটিএস,NNP,B-OTH
রেজিস্ট্রেশন,NNC,B-OTH
পারবেন,VF,B-OTH
১০০,QF,B-NUM
ক্যাশব্যাক,NNC,B-OTH
গ্রহণ,NNC,B-OTH
করবেন।,VF,B-OTH
সোমবার,NNP,B-D&T
২৩,PUNCT,B-OTH
জানুয়ারি,NNP,B-D&T
দুপুরে,NNC,I-D&T
জাতীয়,NNP,B-LOC
প্রেস,NNP,I-LOC
ক্লাবের,NNC,I-LOC
সামনে,PP,B-OTH
আন্দোলনে,NNC,B-EVENT
অংশ,NNC,B-OTH
নেয়,VF,B-OTH
শিক্ষার্থীরা।,NNC,B-PER
তদন্ত,NNC,B-OTH
দ্রুত,ADJ,B-OTH
শেষ,NNC,B-OTH
আদালতে,NNC,B-ORG
অভিযোগপত্র,NNC,B-OTH
দাখিলের,NNC,B-OTH
তদন্তকারী,NNC,B-ORG
দলের,NNC,I-ORG
প্রশংসা,NNC,B-OTH
করেছেন,VF,B-OTH
বেঙ্গালুরুর,NNP,B-GPE
পুলিশ,NNC,B-ORG
কমিশনার।,NNC,B-PER
চা,NNC,B-OTH
খান,VF,B-OTH
না,ADV,B-OTH
এমন,ADJ,B-OTH
মানুষ,NNC,B-PER
খুব,ADJ,B-OTH
কম,ADJ,B-OTH
আছেন।,VF,B-OTH
প্রাকৃতি,ADJ,B-OTH
সৌন্দর্য,NNC,B-OTH
পাহাড়,NNC,B-OTH
লেক,NNC,B-OTH
বিচিত্র,ADJ,B-OTH
পশু,NNC,B-OTH
পাখি,NNC,B-OTH
সবুজ,ADJ,B-OTH
অরণ্যভরপুর,ADJ,B-OTH
কাপ্তাই।,NNP,B-LOC
কিন্তু,CONJ,B-OTH
আলোকে,NNC,B-OTH
কি,ADV,B-OTH
‘জিনিস’,PUNCT,B-OTH
বলা,NNC,B-OTH
যায়,VF,B-OTH
তখন,ADV,B-OTH
শ্লোগানের,NNC,B-OTH
শব্দ,NNC,B-OTH
আমাদের,PRO,B-OTH
কানে,NNC,B-OTH
এলাে।,VF,B-OTH
আপনি,PRO,B-OTH
নিশ্চয়ই,ADV,B-OTH
জানেন,VF,B-OTH
যে,CONJ,B-OTH
গ্রাহককে,NNC,B-PER
আকৃষ্ট,ADJ,B-OTH
প্রতিদিন,ADV,B-OTH
একটি,QF,B-NUM
নতুন,ADJ,B-OTH
স্মার্টফোন,NNC,B-OTH
লঞ্চ,NNC,B-OTH
করে,VF,B-OTH
কোনো,PRO,B-OTH
কোম্পানি।,NNC,B-ORG
রাজু,NNP,B-PER
আলাউদ্দিন,NNP,I-PER
,PUNCT,B-OTH
২,PUNCT,B-OTH
উচ্চ,ADJ,B-OTH
খেলাপির,NNC,B-OTH
কারণ,NNC,B-OTH
আদায়,NNC,B-OTH
পরিস্থিতি,NNC,B-OTH
পরবর্তী,ADJ,B-OTH
পদক্ষেপ,NNC,B-OTH
সম্পর্কে,PP,B-OTH
চাওয়া,NNC,B-OTH
হয়েছে,VF,B-OTH
চিঠির,NNC,B-OTH
মাধ্যমে।,PP,B-OTH
প্রত্যেক,ADJ,B-OTH
সরকার,NNC,B-ORG
কতগুলো,ADJ,B-OTH
ছোট,ADJ,B-OTH
জেলায়,NNC,B-OTH
পরগনায়,NNC,B-OTH
বিভক্ত,NNC,B-OTH
করেন।,VF,B-OTH
রোববার,NNP,B-D&T
১৪,PUNCT,B-OTH
নভেম্বর,NNP,B-D&T
দুপুরে,NNC,B-D&T
গুলশানে,NNP,B-LOC
দলের,NNC,B-ORG
চেয়ারপারসনের,NNC,B-PER
কার্যালয়ে,NNC,B-LOC
বৈঠক,NNC,B-OTH
হয়।,VF,B-OTH
অমন,ADV,B-OTH
কারো,PRO,B-OTH
চোখেতে,NNC,B-OTH
ডুবতে,VNF,B-OTH
আছে,VF,B-OTH
তবে,CONJ,B-OTH
সবার,PRO,B-OTH
শরীর,NNC,B-OTH
সমান,ADJ,B-OTH
নয়।,VF,B-OTH
শুধু,ADV,B-OTH
আজ,NNC,B-D&T
নয়,VF,B-OTH
প্রতিটা,DET,B-OTH
দিন,NNC,B-OTH
যেমন,ADV,B-OTH
আমার,PRO,B-OTH
বাবার,NNC,B-PER
ভাইয়ের,NNC,B-PER
স্বামীর,NNC,B-PER
ছেলের,NNC,B-PER
।,PUNCT,B-OTH
প্রথমবারের,ADV,B-OTH
মতো,ADV,B-OTH
ট্রাম্পের,NNP,B-PER
পোস্ট,NNC,B-OTH
সরালো,VF,B-OTH
ফেইসবুক,NNP,B-ORG
দক্ষিণ,NNP,B-GPE
আফ্রিকায়,NNP,I-GPE
নিজ,PRO,B-OTH
বাসায়,NNC,B-OTH
শান্তা,NNP,B-PER
ইসলাম,NNP,I-PER
২২,PUNCT,B-OTH
নামে,NNC,B-OTH
টাঙ্গাইলের,NNP,B-GPE
মির্জাপুরের,NNP,B-LOC
এক,QF,B-NUM
তরুণীর,NNC,B-PER
মরদেহ,NNC,B-OTH
উদ্ধার,NNC,B-OTH
করেছে,VF,B-OTH
পুলিশ।,NNC,B-ORG
প্রশ্ন,NNC,B-OTH
মহল্লার,NNC,B-OTH
মসজিদ,NNC,B-OTH
বন্যার,NNC,B-OTH
পানিতে,NNC,B-OTH
ডুবে,VNF,B-OTH
গেছে।,VF,B-OTH
বক্তারা,NNC,B-PER
সারা,ADJ,B-OTH
দেশে,NNC,B-OTH
কোটা,NNC,B-EVENT
সংস্কার,NNC,I-EVENT
আন্দোলন,NNC,I-EVENT
চলাকালে,NNC,B-OTH
শিক্ষা,NNC,B-ORG
প্রতিষ্ঠানের,NNC,I-ORG
নিহতদের,NNC,B-PER
স্মরণ,NNC,B-OTH
‘পুরো,PUNCT,B-OTH
পৃথিবী,NNC,B-OTH
একদিকে,NNC,B-OTH
আর,CONJ,B-OTH
আমি,PRO,B-OTH
অন্যদিক,NNC,B-OTH
সবাই,PRO,B-OTH
বলে,VNF,B-OTH
করছ,VF,B-OTH
ভুল,NNC,B-OTH
তোরা,PRO,B-OTH
বলিস,VF,B-OTH
ঠিক।,ADJ,B-OTH
বুধবার,NNP,B-D&T
দ্বীনি,ADJ,B-OTH
আর্জুমের,NNP,B-PER
নামাজে,NNC,B-OTH
জানাযা,NNC,B-OTH
শেষে,NNC,B-OTH
পারিবারিক,ADJ,B-OTH
গোরস্থানে,NNC,B-OTH
দাফন,NNC,B-OTH
প্রয়োজনীয়,ADJ,B-OTH
বই-কম্পিউটার,NNC,B-OTH
টাচ,NNP,B-OTH
অ্যান্ড,NNP,B-OTH
পাস,NNP,B-OTH
প্রস্তুতি,NNC,B-OTH
সহায়িকা,NNC,B-OTH
তারা,PRO,B-OTH
‘আমাদের,PUNCT,B-OTH
প্রধান,ADJ,B-OTH
দাবি,NNC,B-OTH
ছিল,VF,B-OTH
কোটার,NNC,B-OTH
যৌক্তিক,ADJ,B-OTH
সংস্কার।,NNC,B-OTH
সংবর্ধনা,NNC,B-OTH
সভা,NNC,B-EVENT
হওয়ার,NNC,B-OTH
পরপরই,ADV,B-OTH
ওমান,NNP,B-ORG
রয়্যাল,NNP,I-ORG
পুলিশ,NNP,I-ORG
হোটেলটি,NNC,B-OTH
ঘিরে,VNF,B-OTH
ফেলে।,VF,B-OTH
আরও,ADJ,B-OTH
জানায়,VF,B-OTH
দুই,QF,B-NUM
নারী,NNC,B-PER
অ্যাপার্টমেন্টের,NNC,B-OTH
নামতালিকার,NNC,B-OTH
খাতায়,NNC,B-OTH
ভুল,ADJ,B-OTH
নাম,NNC,B-OTH
লেখেন।,VF,B-OTH
বাংলাদেশ,NNP,B-GPE
ক্রিকেটের,NNC,B-MISC
অজস্র,ADJ,B-OTH
সমর্থকদের,NNC,B-PER
একজন,NNC,B-OTH
,PUNCT,B-OTH
গতিদানবের,NNC,B-PER
গুণমুগ্ধভক্ত।,NNC,B-OTH
গতকাল,NNC,B-D&T
বিকেল,NNC,I-D&T
পৌনে,QF,I-D&T
৩টার,QF,I-D&T
দিকে,PP,B-OTH
ডিবি,NNP,B-LOC
কার্যালয়ের,NNC,I-LOC
ফটকে,NNC,B-OTH
সাংবাদিকদের,NNC,B-PER
প্রশ্নের,NNC,B-OTH
জবাবে,NNC,B-OTH
করেন,VF,B-OTH
তিনি।,PRO,B-OTH
‘মানুষ,PUNCT,B-OTH
এখন,ADV,B-OTH
বাড়ির,NNC,B-OTH
ছাদ,NNC,B-OTH
আঙিনা,NNC,B-OTH
খালি,ADJ,B-OTH
জায়গায়,NNC,B-OTH
বৃক্ষরোপণ,NNC,B-OTH
করছে।,VF,B-OTH
মান্নান,NNP,B-LOC
স্টোরের,NNP,I-LOC
স্বত্ত্বাধিকারী,NNC,B-PER
খায়েজ,NNP,B-PER
আহম্মদ,NNP,I-PER
‘,PUNCT,B-OTH
রমজানে,NNP,B-D&T
পর্যটক,NNC,B-PER
আসেনাই,VF,B-OTH
পার্কে।,NNC,B-OTH
এবার,ADV,B-OTH
অভিনব,ADJ,B-OTH
স্কিম,NNC,B-OTH
এসেছে,VF,B-OTH
সোনালী,NNP,B-ORG
ব্যাংক।,NNP,I-ORG
রেহান,NNP,B-PER
বললেন,VF,B-OTH
‘ভালো,PUNCT,B-OTH
কথা,NNC,B-OTH
ভালো,ADJ,B-OTH
সুরের,NNC,B-OTH
কাজের,NNC,B-OTH
যুক্ত,ADJ,B-OTH
থাকতে,VNF,B-OTH
চাই।,VF,B-OTH
অমুসলিমদের,NNC,B-PER
হাতের,NNC,B-OTH
বানানো,NNC,B-OTH
মুসলমানদের,NNP,B-PER
খাওয়াতে,VNF,B-OTH
ঈমান-আমলের,NNC,B-OTH
কোন,DET,B-OTH
সমস্যা,NNC,B-OTH
করবে,VF,B-OTH
কিনা,ADV,B-OTH
কারণ,CONJ,B-OTH
দক্ষিণ,NNC,B-OTH
গোলার্ধে,NNC,B-OTH
সূর্য,NNC,B-OTH
ঘড়ির,NNC,B-OTH
ছায়া,NNC,B-OTH
ডান,NNC,B-OTH
থেকে,PP,B-OTH
বাম,NNC,B-OTH
দিকে,NNC,B-OTH
যায়।,VF,B-OTH
প্রবাসীর,NNC,B-PER
মেধাবী,ADJ,B-OTH
সন্তানদের,NNC,B-PER
শিক্ষাবৃত্তি,NNC,B-OTH
দিচ্ছে,VF,B-OTH
সরকার।,NNC,B-ORG
৬৫৮,QF,B-D&T
বর্ষপঞ্জির,NNC,B-OTH
সাধারণ,ADJ,B-OTH
বছর।,NNC,B-OTH
উল্লেখ্য,ADJ,B-OTH
গত,ADJ,B-D&T
২,QF,I-D&T
জুলাই,NNP,I-D&T
বেনজীর,NNP,B-PER
তার,PRO,B-OTH
পরিবারকে,NNC,B-OTH
সম্পদের,NNC,B-OTH
হিসাব,NNC,B-OTH
দিতে,VNF,B-OTH
নোটিশ,NNC,B-OTH
জারি,NNC,B-OTH
দুদক।,NNP,B-ORG
পাহাড়ে,NNC,B-OTH
শান্তি,NNC,B-OTH
সম্প্রীতির,NNC,B-OTH
বাণী,NNC,B-OTH
ছড়াবে,VF,B-OTH
উৎসব,NNC,B-EVENT
প্রত্যাশা,NNC,B-OTH
সংশ্লিষ্টদের।,NNC,B-PER
রাজধানীতে,NNC,B-OTH
অভিযান,NNC,B-OTH
চালিয়ে,VNF,B-OTH
গোয়েন্দা,NNP,B-ORG
পুলিশের,NNP,I-ORG
সাইবার,NNP,B-ORG
অ্যান্ড,NNP,I-ORG
স্পেশাল,NNP,I-ORG
ক্রাইম,NNP,I-ORG
বিভাগ,NNP,I-ORG
এদের,PRO,B-OTH
গ্রেফতার,NNC,B-OTH
করে।,VF,B-OTH
হবিগঞ্জের,NNP,B-GPE
বাহুবল,NNP,B-GPE
উপজেলায়,NNC,B-OTH
ব্রাজিল-আর্জেন্টিনার,NNP,B-GPE
ফুটবল,NNC,B-MISC
খেলা,NNC,B-OTH
নিয়ে,PP,B-OTH
তর্কাতর্কির,NNC,B-OTH
জেরে,NNC,B-OTH
ব্যক্তিকে,NNC,B-PER
পিটিয়ে,VNF,B-OTH
হত্যা,NNC,B-OTH
হয়েছে।,VF,B-OTH
শুনেছি,VF,B-OTH
আপনজনেরা,NNC,B-OTH
হারিয়ে,VNF,B-OTH
যান,VF,B-OTH
কখনো,ADV,B-OTH
ওঁরা,PRO,B-OTH
ফিরে,VNF,B-OTH
আসেন।,VF,B-OTH
ধনু,NNP,B-PER
রাশি,NNP,B-OTH
২১,PUNCT,B-OTH
নভেম্বর,NNP,B-D&T
–,PUNCT,B-D&T
২০,QF,B-D&T
ডিসেম্বর,NNP,B-D&T
ধনু,NNP,B-OTH
রাশির,NNC,B-OTH
জাতক,NNC,B-PER
জাতিকার,NNC,B-PER
কর্মক্ষেত্রে,NNC,B-OTH
সহকর্মীদের,NNC,B-PER
সাথে,PP,B-OTH
ঝামেলা,NNC,B-OTH
এড়িয়ে,VNF,B-OTH
চলতে,VNF,B-OTH
হবে।,VF,B-OTH
তাহলে,CONJ,B-OTH
তাকে,PRO,B-OTH
বদলির,NNC,B-OTH
উদ্দেশ্য,NNC,B-OTH
ব্যহত,ADJ,B-OTH
হচ্ছে,VF,B-OTH
না,ADV,B-OTH
প্রশ্নে,NNC,B-OTH
আলী,NNP,I-PER
‘এটা,PUNCT,B-OTH
লিখিত,ADJ,B-OTH
পরীক্ষায়,NNC,B-OTH
উত্তীর্ণ,ADJ,B-OTH
১৬১,QF,B-NUM
জন,NNC,B-OTH
প্রার্থীর,NNC,B-PER
মনস্তাত্ত্বিক,ADJ,B-OTH
মৌখিক,ADJ,B-OTH
পরীক্ষা,NNC,B-OTH
শনিবার,NNP,I-D&T
যখন,ADV,B-OTH
ওয়ার্ড,NNC,B-OTH
বের,NNC,B-OTH
হলাম,VF,B-OTH
চিকিৎসকদের,NNC,B-PER
প্রতি,PP,B-OTH
গভীর,ADJ,B-OTH
কৃতজ্ঞতা,NNC,B-OTH
অনুভব,NNC,B-OTH
করেছিলাম।,VF,B-OTH
ভাষার,NNC,B-OTH
প্রাণ,NNC,B-OTH
দিয়েছে,VF,B-OTH
জাতি,NNC,B-OTH
কে,PRO,B-OTH
কোথায়,ADV,B-OTH
পায়,VF,B-OTH
কুরআন,NNC,B-T&T
তাফসীর,NNC,B-OTH
হাদিস,NNC,B-OTH
রোজা,NNC,B-OTH
হজ্ব,NNC,B-OTH
যাকাত,NNC,B-OTH
মাসলা-মাসায়েল,NNC,B-OTH
ইসলামী,ADJ,B-OTH
ইতিহাসসহ,NNC,B-OTH
প্রায়,ADJ,B-OTH
৮,QF,B-NUM
হাজার,QF,I-NUM
বই,NNC,B-OTH
পাওয়া,NNC,B-OTH
যাবে,VF,B-OTH
রকমারিতে।,NNC,B-ORG
১৯,PUNCT,B-OTH
মে,NNP,B-D&T
বিশ্ববিদ্যালয়ের,NNC,B-ORG
রেজিস্ট্রার,NNC,I-PER
এইচ,NNP,B-PER
এম,NNP,I-PER
হাসান,NNP,I-PER
স্বাক্ষরিত,ADJ,B-OTH
প্রজ্ঞাপনে,NNC,B-OTH
জানানো,NNC,B-OTH
রোগ,NNC,B-OTH
প্রতিরোধক্ষমতা,NNC,B-OTH
বেশি,ADJ,B-OTH
থাকায়,VNF,B-OTH
দুম্বা,NNP,B-OTH
পালনের,NNC,B-OTH
তেমন,ADJ,B-OTH
বেগ,NNC,B-OTH
পেতে,VNF,B-OTH
হয়,VF,B-OTH
বছর,NNC,B-OTH
আমিরাতের,NNP,B-GPE
সাতটি,QF,B-NUM
প্রদেশ,NNC,B-OTH
৩০০,QF,B-NUM
প্রতিযোগী,NNC,B-PER
নিয়েছিল।,VF,B-OTH
অপ্রাপ্তবয়স্কদের,NNC,B-PER
১৩–১৫,PUNCT,B-OTH
বছর,NNC,B-UNIT
৫৯,QF,B-NUM
পাবলিক,ADJ,B-OTH
প্লেসে,NNC,B-OTH
৩১.১,QF,B-NUM
বাড়িতে,NNC,B-OTH
পরোক্ষ,ADJ,B-OTH
ধূমপানের,NNC,B-OTH
শিকার,NNC,B-OTH
সারাদেশে,NNC,B-OTH
ইউনিয়ন,NNC,B-OTH
পর্যায়ে,NNC,B-OTH
সমাজকর্মীর,NNC,B-PER
নিয়োগ,NNC,B-OTH
পরীক্ষা,NNC,B-EVENT
চাকরিপ্রার্থীরা,NNC,B-PER
সব,ADJ,B-OTH
ডেনমার্কের,NNP,B-GPE
অ্যালবর্গে,NNP,B-LOC
বাঙালি,ADJ,B-PER
মুসলমানরা,NNC,B-PER
একসঙ্গে,ADV,B-OTH
ইফতার,NNC,B-OTH
অক্ষয়চন্দ্র,NNP,B-PER
সরকার,NNP,I-PER
প্রমুখ,ADJ,B-OTH
কবি,NNC,B-PER
সাহিত্যিক।,NNC,B-PER
অনুষ্ঠানটি,NNC,B-EVENT
সভাপতিত্ব,NNC,B-OTH
হল,NNC,B-OTH
প্রভোস্ট,NNC,B-PER
অধ্যাপক,NNC,B-PER
ড,NNP,B-PER
শামীমা,NNP,I-PER
বেগম।,NNP,I-PER
তোমায়,PRO,B-OTH
মন,NNC,B-OTH
জেবিএল,NNP,B-OTH
ইয়ার,NNP,B-OTH
ওয়্যারলেস,ADJ,B-OTH
হেডফোন,NNC,B-OTH
ব্যবহারকারী,NNC,B-OTH
নির্দেশিকা,NNC,B-OTH
‘সরকারি,PUNCT,B-OTH
প্রতিষ্ঠানগুলোও,NNC,B-ORG
বাণিজ্যিক,ADJ,B-OTH
কার্যক্রমের,NNC,B-OTH
সেন্টমার্টিনে,NNP,B-LOC
কোনো,DET,B-OTH
স্থাপনা,NNC,B-OTH
সেক্ষেত্রে,ADV,B-OTH
ভারত,NNP,B-GPE
সমর্থন,NNC,B-OTH
অব্যাহত,ADJ,B-OTH
রাখবে।,VF,B-OTH
তুরাগের,NNP,B-LOC
কামারপাড়া,NNP,B-LOC
ট্রাকচাপায়,NNC,B-OTH
আম্বিয়া,NNP,B-PER
বেগম,NNP,I-PER
৪৮,PUNCT,B-OTH
নিহত,ADJ,B-OTH
খলীফা,PUNCT,B-OTH
বিন,NNP,B-T&T
খাইয়াত্ব,NNP,B-T&T
আত-তারীখ,NNP,B-T&T
১৬৫,QF,I-T&T
পৃ,NNC,B-OTH
ইন্সট্যান্ট,ADJ,B-OTH
মেসেজিং,NNC,B-OTH
বাজারে,NNC,B-OTH
অন্যতম,ADJ,B-OTH
জনপ্রিয়,ADJ,B-OTH
বিশ্বের,NNC,B-OTH
এক,ADJ,B-NUM
নম্বর,ADJ,B-OTH
মেসেজিং,ADJ,B-OTH
অ্যাপ,NNC,B-OTH
যার,PRO,B-OTH
হোয়াটসঅ্যাপ।,NNP,B-ORG
এদিকে,ADV,B-OTH
দীর্ঘ,ADJ,B-OTH
নিষেধাজ্ঞা,NNC,B-OTH
চলমান,ADJ,B-OTH
থাকলে,VNF,B-OTH
জেলার,NNC,B-OTH
পর্যটনশিল্পে,NNC,B-OTH
বড়,ADJ,B-OTH
বিপর্যয়ের,NNC,B-OTH
আশঙ্কা,NNC,B-OTH
করছেন,VF,B-OTH
পর্যটন,NNC,B-OTH
সংশ্লিষ্টরা।,NNC,B-PER
পৃথক,ADJ,B-OTH
বানীতে,NNC,B-OTH
প্রধানমন্ত্রী,NNC,B-PER
শেখ,NNP,B-PER
হাসিনা,NNP,I-PER
বলেছেন,VF,B-OTH
“শহীদ,PUNCT,B-OTH
আসাদের,NNP,B-PER
আত্মত্যাগ,NNC,B-OTH
সবসময়,ADV,B-OTH
